,fl_date,op_carrier,iata,icao,state,state_name,airport,latitude,longitude,dep_delay,arr_delay,cancelled,cancellation_code,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
365,2022-01-01,Endeavor Air Inc.,MKE,KMKE,WI,Wisconsin,General Mitchell International Airport,42.9472,-87.8966,-13.0,-16.0,0.0,,,,,,
366,2022-01-01,Endeavor Air Inc.,MKE,KMKE,WI,Wisconsin,General Mitchell International Airport,42.9472,-87.8966,-9.0,-34.0,0.0,,,,,,
367,2022-01-01,Endeavor Air Inc.,MKE,KMKE,WI,Wisconsin,General Mitchell International Airport,42.9472,-87.8966,-7.0,-18.0,0.0,,,,,,
368,2022-01-01,Endeavor Air Inc.,MLI,KMLI,IL,Illinois,Quad City International Airport,41.4485,-90.5075,,,1.0,B,,,,,
369,2022-01-01,Endeavor Air Inc.,MLI,KMLI,IL,Illinois,Quad City International Airport,41.4485,-90.5075,-5.0,-3.0,0.0,,,,,,
370,2022-01-01,Endeavor Air Inc.,MLI,KMLI,IL,Illinois,Quad City International Airport,41.4485,-90.5075,-5.0,31.0,0.0,,0.0,0.0,31.0,0.0,0.0
371,2022-01-01,Endeavor Air Inc.,MLU,KMLU,LA,Louisiana,Monroe Regional Airport,32.5109,-92.0377,-5.0,-24.0,0.0,,,,,,
372,2022-01-01,Endeavor Air Inc.,MLU,KMLU,LA,Louisiana,Monroe Regional Airport,32.5109,-92.0377,-4.0,-14.0,0.0,,,,,,
373,2022-01-01,Endeavor Air Inc.,MOB,KMOB,AL,Alabama,Mobile Regional Airport,30.6912,-88.2428,-6.0,-10.0,0.0,,,,,,
374,2022-01-01,Endeavor Air Inc.,MOB,KMOB,AL,Alabama,Mobile Regional Airport,30.6912,-88.2428,-5.0,-14.0,0.0,,,,,,
375,2022-01-01,Endeavor Air Inc.,MOB,KMOB,AL,Alabama,Mobile Regional Airport,30.6912,-88.2428,5.0,-4.0,0.0,,,,,,
376,2022-01-01,Endeavor Air Inc.,MOT,KMOT,ND,North Dakota,Minot International Airport,48.2594,-101.28,-9.0,-14.0,0.0,,,,,,
377,2022-01-01,Endeavor Air Inc.,MSN,KMSN,WI,Wisconsin,Dane County Regional Airport (Truax Field),43.1399,-89.3375,-5.0,-16.0,0.0,,,,,,
378,2022-01-01,Endeavor Air Inc.,MSN,KMSN,WI,Wisconsin,Dane County Regional Airport (Truax Field),43.1399,-89.3375,-5.0,-12.0,0.0,,,,,,
